 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Lista Morb  CID-10 e Sexo
Lista Morb  CID-10: Inflamação da pálpebra, Conjuntivite e outros transtornos da conjuntiva, Ceratite e outros transtornos esclerótica e córnea, Catarata e outros transtornos do cristalino, Descolamentos e defeitos da retina, Glaucoma, Estrabismo, Transtornos da refração e da acomodação, Cegueira e visão subnormal, Outras doenças do olho e anexos
Faixa Etária 1: 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2008-2019
"Lista Morb  CID-10";"Masc";"Fem";"Total"
"07 Doenças do olho e anexos";296565;388347;684912
".. Inflamação da pálpebra";835;1607;2442
".. Conjuntivite e outros transtornos da conjuntiva";4690;5508;10198
".. Ceratite e outros transtornos esclerót e córnea";10230;14099;24329
".. Catarata e outros transtornos do cristalino";180162;259940;440102
".. Descolamentos e defeitos da retina";47150;42241;89391
".. Glaucoma";12991;13852;26843
".. Estrabismo";772;918;1690
".. Transtornos da refração e da acomodação";182;227;409
".. Cegueira e visão subnormal";119;132;251
".. Outras doenças do olho e anexos";39434;49823;89257
"Total";296565;388347;684912
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
